"","sample_id","t_initial","t_final","cfu_slope","cfu_intercept","cfu_initial","cfu_final","cfu_mean","pfu_slope","pfu_intercept","pfu_initial","pfu_final","V_T2_T1","replicate","filename","group","mutation_type","spi"
"93","Lys2_2",0,7,0.508588657,5.687433928,486893.4453,1768294206,29342304.93,0.434796862,5.910974485,814656.4219,900642665.5,899828009.1,20210414,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00174722952217194
"94","Lys2_2",0,7,0.508588657,5.687433928,486893.4453,1768294206,29342304.93,0.434796862,5.910974485,814656.4219,900642665.5,899828009.1,20210421,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00174722952217194
"95","Lys2_2",0,5,0.563786556,5.517735833,329409.2823,217104393.4,8456725.278,0.604564248,5.412220093,258356.917,272296046.3,272037689.4,20210428,"2021-04-28-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00256589906462047
"96","Lys2_2",0,7,0.570070663,5.453916618,284391.5037,2782346782,28129624.69,0.430216725,5.990632706,978661.9551,1004962317,1003983655,20210511,"2021-05-11-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00203351501051734
"97","Lys2_3",0,7,0.560535563,5.562487257,365163.4126,3063629196,33447351.05,0.4855551,5.773834706,594066.0124,1488402541,1487808475,20210331,"2021-03-31-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00253436975837647
"98","Lys2_3",0,7,0.568593422,5.210718178,162449.4247,1551930004,15877976.46,0.428222652,5.779972333,602521.2011,599143557.5,598541036.3,20210414,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00214774865283613
"99","Lys2_3",0,7,0.568593422,5.210718178,162449.4247,1551930004,15877976.46,0.428222652,5.779972333,602521.2011,599143557.5,598541036.3,20210421,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00214774865283613
"100","Lys2_3",0,5,0.568900523,5.479528798,301667.6898,210878067.5,7975907.439,0.573623615,5.591198665,390120.4037,287949774,287559653.6,20210428,"2021-04-28-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00287581245281334
"101","Lys2_3",0,7,0.513582834,5.586563881,385979.1815,1519300630,24216077.59,0.420879265,5.936675719,864322.3007,763537849,762673526.7,20210511,"2021-05-11-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00179440119635722
"102","Lys2_4",0,7,0.547559812,5.577549228,378049.9873,2573166640,31189511.31,0.465058609,5.796914691,626490.7904,1128041186,1127414695,20210331,"2021-03-31-spontaneousInduction_Lys1Lys2_populationVariation","ancestral","ancestral",0.00205949052816468
