"","sample_id","t_initial","t_final","cfu_slope","cfu_intercept","cfu_initial","cfu_final","cfu_mean","pfu_slope","pfu_intercept","pfu_initial","pfu_final","V_T2_T1","replicate","filename","group","mutation_type","spi"
"50","14_5 Day 12 ev ",0,7,0.539252047,5.586080649,385549.9477,2295329186,29748345.29,0.494716593,5.460728165,288887.1106,838965914.1,838677026.9,20210414,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_2","spacer_mutation",0.00160626283533528
"51","14_5 Day 12 ev ",0,7,0.539252047,5.586080649,385549.9477,2295329186,29748345.29,0.494716593,5.460728165,288887.1106,838965914.1,838677026.9,20210421,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_2","spacer_mutation",0.00160626283533528
"52","14_5 Day 12 ev ",0,5,0.570273757,5.575429096,376208.9265,267176270.7,10025671.95,0.635611504,5.073048161,118317.2757,178281254.5,178162937.2,20210428,"2021-04-28-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_2","spacer_mutation",0.001417478849479
"53","14_5 Day 12 ev ",0,7,0.517432172,5.612891989,410102.0962,1717580861,26540224.41,0.479295742,5.345268272,221446.2205,501577983,501356536.8,20210511,"2021-05-11-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_2","spacer_mutation",0.00107628371433833
"54","14_6 Day 12 ev ",0,7,0.52587529,5.640827874,437348.7346,2098721941,30296425.29,0.451376151,5.078262811,119746.495,172940163.5,172820417,20210303,"2021-03-03_spontaneousInduction_Lys1Lys2_Lys2evolved","ev_pop_2","large_deletion",0.000325003724454748
"55","14_6 Day 12 ev ",0,7,0.532203859,5.627495901,424126.9809,2253839120,30917858.62,0.526843494,4.894887594,78503.24236,382641485.2,382562982,20210310,"2021-03-10_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_2","large_deletion",0.000704982302626339
"56","14_6 Day 12 ev ",0,7,0.543892248,5.650122511,446809.6154,2866607607,35788655.22,0.495226124,4.837868462,68844.37514,201581803.9,201512959.5,20210317,"2021-03-17_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_2","large_deletion",0.000320805850066064
"57","14_6 Day 12 ev ",0,7,0.503088556,5.757400567,572005.9773,1901167849,32976952.15,0.445266361,5.769975079,588809.8673,770618812.8,770030003,20210331,"2021-03-31-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_2","large_deletion",0.0013303986968887
"58","14_6 Day 12 ev ",0,7,0.534854109,5.63041547,426987.8032,2368068358,31798369.55,0.464060153,5.36588015,232209.5889,411434988.8,411202779.2,20210414,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_2","large_deletion",0.000736776672249663
"59","14_6 Day 12 ev ",0,7,0.534854109,5.63041547,426987.8032,2368068358,31798369.55,0.464060153,5.36588015,232209.5889,411434988.8,411202779.2,20210421,"2021-04-14-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_2","large_deletion",0.000736776672249663
"60","14_6 Day 12 ev ",0,5,0.541170046,5.848956761,706247.2356,358762458.6,15917757.21,0.570880794,5.092811397,123825.8726,88555464.53,88431638.66,20210428,"2021-04-28-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_2","large_deletion",0.000443137506823035
"61","14_6 Day 12 ev ",0,7,0.491820935,5.822727449,664855.7809,1842782151,35002633.7,0.442490566,5.34141387,219489.5613,274693150.8,274473661.2,20210511,"2021-05-11-spontaneousInduction_Lys1Lys2_populationVariation","ev_pop_2","large_deletion",0.000446770644924527
"62","15_1 Day 12 ev ",0,7,0.482992719,5.798233553,628396.2041,1510715151,30811161.39,0.468555787,5.322142842,209963.0349,399975462.1,399765499,20210303,"2021-03-03_spontaneousInduction_Lys1Lys2_Lys2evolved","ev_pop_3","cas_mutation",0.000739233976162809
"63","15_1 Day 12 ev ",0,7,0.541131969,5.551899452,356368.6176,2186871351,27916524.14,0.547970588,4.767877167,58597.24084,401486807.7,401428210.5,20210310,"2021-03-10_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_3","cas_mutation",0.000819277868998499
"64","15_1 Day 12 ev ",0,7,0.456118815,6.180483328,1515246.633,2362191121,59827269.21,0.537606397,4.985933784,96813.02368,561278705.1,561181892.1,20210317,"2021-03-17_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_3","cas_mutation",0.000534427929727358
"65","15_2 Day 12 ev ",0,7,0.484809399,5.809564642,645007.3179,1596726132,32092055.72,0.481912138,5.302444351,200652.3966,474055639.7,473854987.3,20210303,"2021-03-03_spontaneousInduction_Lys1Lys2_Lys2evolved","ev_pop_3","spacer_deletion",0.000841264564638076
"66","15_2 Day 12 ev ",0,7,0.539372943,5.568497254,370251.8647,2208553136,28595819.92,0.581253067,4.723278668,52878.44415,619512590.9,619459712.5,20210310,"2021-03-10_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_3","spacer_deletion",0.001234227421032
"67","15_2 Day 12 ev ",0,7,0.511688227,5.829627485,675503.3159,2578962790,41738446.5,0.551198106,4.868173957,73819.98569,532795688.3,532721868.3,20210317,"2021-03-17_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_3","spacer_deletion",0.000727191714835575
"68","15_3 Day 12 ev ",0,7,0.46646076,5.879189459,757163.1313,1394487983,32493920.78,0.472016528,5.335240064,216391.4333,435868778.8,435652387.4,20210303,"2021-03-03_spontaneousInduction_Lys1Lys2_Lys2evolved","ev_pop_3","cas_mutation",0.000763875636877574
"69","15_3 Day 12 ev ",0,7,0.5346927,5.523495299,333806.8918,1846478253,24826742.97,0.576905602,4.652766319,44953.79067,491027182.8,490982229,20210310,"2021-03-10_spontaneousInduction_Lys1_Lys2_Lys2evolved","ev_pop_3","cas_mutation",0.00112675813682591
