"","time","sample_id","group","type","mutation_type","gen_rearr","mean_amount","sd_amount"
"67",2,"15_4","ev_pop_3","cfu","large_deletion","DEL",296296.2963,117763.800689339
"68",2,"15_4","ev_pop_3","pfu","large_deletion","DEL",102592.59259,37289.8776999353
"69",2,"15_5","ev_pop_3","cfu","large_deletion","DEL",303703.7037,144586.824369708
"70",2,"15_5","ev_pop_3","pfu","large_deletion","DEL",94814.8148,32533.6166553136
"71",2,"15_6","ev_pop_3","cfu","cas_deletion","NO",337037.037033333,89810.0418377428
"72",2,"15_6","ev_pop_3","pfu","cas_deletion","NO",89259.25925,32854.5866980298
"73",3,"13_1","ev_pop_1","cfu","spacer_deletion","NO",1333333.33355,1728483.24322258
"74",3,"13_1","ev_pop_1","pfu","spacer_deletion","NO",685185.185166667,204979.171884614
"75",3,"13_2","ev_pop_1","cfu","spacer_deletion","NO",822222.222063333,684574.302050245
"76",3,"13_2","ev_pop_1","pfu","spacer_deletion","NO",688888.8889,184925.744176239
"77",3,"13_3","ev_pop_1","cfu","large_deletion","DEL",1344444.44441,1588655.77149263
"78",3,"13_3","ev_pop_1","pfu","large_deletion","DEL",533333.333333333,280431.765909923
"79",3,"13_4","ev_pop_1","cfu","large_deletion","DUP",1051851.85179,1089644.48450452
"80",3,"13_4","ev_pop_1","pfu","large_deletion","DUP",511111.1111,283496.684918236
"81",3,"13_5","ev_pop_1","cfu","spacer_mutation","NO",851851.85196,795227.53444914
"82",3,"13_5","ev_pop_1","pfu","spacer_mutation","NO",588888.888866667,226895.309499696
"83",3,"13_6","ev_pop_1","cfu","spacer_mutation","NO",855555.55569,748413.961050069
"84",3,"13_6","ev_pop_1","pfu","spacer_mutation","NO",551851.851833333,132559.482746923
"85",3,"14_1","ev_pop_2","cfu","large_deletion","DEL",937037.036933333,350719.425020379
"86",3,"14_1","ev_pop_2","pfu","large_deletion","DEL",551851.851866667,208561.603336117
"87",3,"14_2","ev_pop_2","cfu","cas_mutation","NO",1307407.40726667,985470.579397156
"88",3,"14_2","ev_pop_2","pfu","cas_mutation","NO",766666.666733333,342287.151226951
"89",3,"14_3","ev_pop_2","cfu","large_deletion","DUP",1011111.111,281749.384991058
"90",3,"14_3","ev_pop_2","pfu","large_deletion","DUP",577777.777766667,126197.963263485
"91",3,"14_4","ev_pop_2","cfu","spacer_deletion","NO",1262962.9629,831207.16404729
"92",3,"14_4","ev_pop_2","pfu","spacer_deletion","NO",718518.5185,97076.6105341465
"93",3,"14_5","ev_pop_2","cfu","spacer_mutation","NO",1125925.926,564629.599389501
"94",3,"14_5","ev_pop_2","pfu","spacer_mutation","NO",766666.666666667,211986.489222402
"95",3,"14_6","ev_pop_2","cfu","large_deletion","DUP",1296296.29623333,803797.570758716
"96",3,"14_6","ev_pop_2","pfu","large_deletion","DUP",485185.1852,147545.068818564
"97",3,"15_1","ev_pop_3","cfu","cas_mutation","NO",733333.33321,655743.852276939
"98",3,"15_1","ev_pop_3","pfu","cas_mutation","NO",640740.740733333,215547.9189325
"99",3,"15_2","ev_pop_3","cfu","spacer_deletion","NO",681481.481466667,504343.275860805
"100",3,"15_2","ev_pop_3","pfu","spacer_deletion","NO",781481.481466667,161907.355504247
"101",3,"15_3","ev_pop_3","cfu","cas_mutation","NO",1048148.1481,1001500.93116798
"102",3,"15_3","ev_pop_3","pfu","cas_mutation","NO",686111.11115,322716.734248333
"103",3,"15_4","ev_pop_3","cfu","large_deletion","DEL",1229629.62975667,1321490.61632031
"104",3,"15_4","ev_pop_3","pfu","large_deletion","DEL",627777.777775,302866.959337994
"105",3,"15_5","ev_pop_3","cfu","large_deletion","DEL",1114814.8147,1126577.54031291
"106",3,"15_5","ev_pop_3","pfu","large_deletion","DEL",627777.7778,361125.3558248
"107",3,"15_6","ev_pop_3","cfu","cas_deletion","NO",837037.037193333,739730.793200536
"108",3,"15_6","ev_pop_3","pfu","cas_deletion","NO",644444.4445,343187.671396451
"109",4,"13_1","ev_pop_1","cfu","spacer_deletion","NO",3325925.92566667,2763548.74116835
"110",4,"13_1","ev_pop_1","pfu","spacer_deletion","NO",2750000,2488384.5385313
"111",4,"13_2","ev_pop_1","cfu","spacer_deletion","NO",3318518.51833333,2911139.3834095
"112",4,"13_2","ev_pop_1","pfu","spacer_deletion","NO",2827777.77775,2789257.7593239
"113",4,"13_3","ev_pop_1","cfu","large_deletion","DEL",3325925.92606667,2517134.69621203
"114",4,"13_3","ev_pop_1","pfu","large_deletion","DEL",2297222.222025,2694322.25753335
"115",4,"13_4","ev_pop_1","cfu","large_deletion","DUP",3296296.29643333,2566001.19654588
"116",4,"13_4","ev_pop_1","pfu","large_deletion","DUP",2327777.77795,2424658.98494856
"117",4,"13_5","ev_pop_1","cfu","spacer_mutation","NO",2274074.07396667,1547013.58380689
"118",4,"13_5","ev_pop_1","pfu","spacer_mutation","NO",2330555.5555,2447983.54915925
"119",4,"13_6","ev_pop_1","cfu","spacer_mutation","NO",2262962.96286667,1574108.93193706
"120",4,"13_6","ev_pop_1","pfu","spacer_mutation","NO",2688888.88895,2740400.37938576
"121",4,"14_1","ev_pop_2","cfu","large_deletion","DEL",4148148.14833333,570177.937698277
"122",4,"14_1","ev_pop_2","pfu","large_deletion","DEL",2977777.77776667,2216436.91355559
"123",4,"14_2","ev_pop_2","cfu","cas_mutation","NO",4333333.33366667,484322.10492707
"124",4,"14_2","ev_pop_2","pfu","cas_mutation","NO",3977777.778,2459850.44194024
"125",4,"14_3","ev_pop_2","cfu","large_deletion","DUP",5e+06,2247083.15774906
"126",4,"14_3","ev_pop_2","pfu","large_deletion","DUP",3348148.148,2162112.97363398
"127",4,"14_4","ev_pop_2","cfu","spacer_deletion","NO",4407407.40733333,1880154.09597543
"128",4,"14_4","ev_pop_2","pfu","spacer_deletion","NO",3470370.37033333,1882877.14347336
"129",4,"14_5","ev_pop_2","cfu","spacer_mutation","NO",3888888.889,1724908.29985642
"130",4,"14_5","ev_pop_2","pfu","spacer_mutation","NO",4459259.25933333,2792081.68989824
"131",4,"14_6","ev_pop_2","cfu","large_deletion","DUP",4407407.40733333,1607595.14133773
"132",4,"14_6","ev_pop_2","pfu","large_deletion","DUP",2140740.74056667,1189529.07636649
"133",4,"15_1","ev_pop_3","cfu","cas_mutation","NO",3044444.44453333,2345155.23723323
"134",4,"15_1","ev_pop_3","pfu","cas_mutation","NO",2569444.44435,2241754.43874468
"135",4,"15_2","ev_pop_3","cfu","spacer_deletion","NO",3829629.62953333,3408510.2884889
"136",4,"15_2","ev_pop_3","pfu","spacer_deletion","NO",2980555.5553,2502317.85543209
"137",4,"15_3","ev_pop_3","cfu","cas_mutation","NO",3351851.85185333,2958735.41004742
"138",4,"15_3","ev_pop_3","pfu","cas_mutation","NO",3385185.185,2696255.59593407
"139",4,"15_4","ev_pop_3","cfu","large_deletion","DEL",3807407.40729667,3227989.72968825
"140",4,"15_4","ev_pop_3","pfu","large_deletion","DEL",3381481.48173333,2959945.22262613
"141",4,"15_5","ev_pop_3","cfu","large_deletion","DEL",4425925.9259,3730229.08854907
"142",4,"15_5","ev_pop_3","pfu","large_deletion","DEL",3129629.62946667,2090789.12776104
"143",4,"15_6","ev_pop_3","cfu","cas_deletion","NO",4107407.40733333,3470516.6180646
"144",4,"15_6","ev_pop_3","pfu","cas_deletion","NO",2955555.5556,2205156.69474266
"145",5,"13_1","ev_pop_1","cfu","spacer_deletion","NO",25333333.33275,24250408.3368154
"146",5,"13_1","ev_pop_1","pfu","spacer_deletion","NO",34972222.22225,56715111.8262349
"147",5,"13_2","ev_pop_1","cfu","spacer_deletion","NO",32277777.779,34616832.6523866
"148",5,"13_2","ev_pop_1","pfu","spacer_deletion","NO",33277777.784,49722894.6885433
"149",5,"13_3","ev_pop_1","cfu","large_deletion","DEL",32194444.44375,31364362.7534226
"150",5,"13_3","ev_pop_1","pfu","large_deletion","DEL",28444444.44525,45516062.3770407
"151",5,"13_4","ev_pop_1","cfu","large_deletion","DUP",27694444.4445,27315768.9722945
"152",5,"13_4","ev_pop_1","pfu","large_deletion","DUP",20694444.44525,31439716.3055879
"153",5,"13_5","ev_pop_1","cfu","spacer_mutation","NO",25472222.223,21163944.6105409
"154",5,"13_5","ev_pop_1","pfu","spacer_mutation","NO",28749999.99925,43067883.5380158
"155",5,"13_6","ev_pop_1","cfu","spacer_mutation","NO",22138888.88975,25129029.1697719
"156",5,"13_6","ev_pop_1","pfu","spacer_mutation","NO",33861111.1055,52273999.1438844
"157",5,"14_1","ev_pop_2","cfu","large_deletion","DEL",32962962.9633333,18064812.4389694
"158",5,"14_1","ev_pop_2","pfu","large_deletion","DEL",25111111.111,30249170.9916981
"159",5,"14_2","ev_pop_2","cfu","cas_mutation","NO",23703703.7033333,8630503.84711947
"160",5,"14_2","ev_pop_2","pfu","cas_mutation","NO",36851851.851,47952179.5387855
"161",5,"14_3","ev_pop_2","cfu","large_deletion","DUP",32222222.2233333,13877773.3311086
"162",5,"14_3","ev_pop_2","pfu","large_deletion","DUP",23833333.3323333,25551146.9607085
