time,sample_id,group,mutation_type,zong_spi
4,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.027439182
4,Lys2_ev_2_6,ev_pop_2,large_deletion,0.011622909
4,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.02019599
4,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.018624062
4,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.024167492
4,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.021252579
4,Lys2_ev_3_5,ev_pop_3,large_deletion,0.016920873
4,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.017218896
4,Lys2_1,anc_pop_2,ancestral,0.045483364
4,Lys2_2,anc_pop_2,ancestral,0.043981768
4,Lys2_3,anc_pop_2,ancestral,0.038183723
4,Lys2_4,anc_pop_2,ancestral,0.047859038
4,Lys2_5,anc_pop_2,ancestral,0.031542151
4,Lys2_6,anc_pop_2,ancestral,0.041083168
5,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.033034281
5,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.024670881
5,Lys2_ev_1_3,ev_pop_1,large_deletion,0.021142215
5,Lys2_ev_1_4,ev_pop_1,large_deletion,0.017881135
5,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.027008781
5,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.036599854
5,Lys2_ev_2_1,ev_pop_2,large_deletion,0.018229454
5,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.037202924
5,Lys2_ev_2_3,ev_pop_2,large_deletion,0.017699592
5,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.023979372
5,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.026787767
5,Lys2_ev_2_6,ev_pop_2,large_deletion,0.010068218
5,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.01669117
5,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.020230109
5,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.021872684
5,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.016796591
5,Lys2_ev_3_5,ev_pop_3,large_deletion,0.020683559
5,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.017749973
5,Lys2_1,anc_pop_2,ancestral,0.081727026
5,Lys2_2,anc_pop_2,ancestral,0.051529643
5,Lys2_3,anc_pop_2,ancestral,0.052724929
5,Lys2_4,anc_pop_2,ancestral,0.064744787
5,Lys2_5,anc_pop_2,ancestral,0.050831415
5,Lys2_6,anc_pop_2,ancestral,0.072765272
6,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.01064451
6,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.013153312
6,Lys2_ev_1_3,ev_pop_1,large_deletion,0.005542996
6,Lys2_ev_1_4,ev_pop_1,large_deletion,0.008918382
6,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.011297871
6,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.011798582
6,Lys2_ev_2_1,ev_pop_2,large_deletion,0.008930634
6,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.013746745
6,Lys2_ev_2_3,ev_pop_2,large_deletion,0.008124906
6,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.010268967
6,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.013447994
6,Lys2_ev_2_6,ev_pop_2,large_deletion,0.006063589
6,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.011750337
6,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.011815821
6,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.013052465
6,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.009964342
6,Lys2_ev_3_5,ev_pop_3,large_deletion,0.009441579
6,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.011793834
6,Lys2_1,anc_pop_2,ancestral,0.017234213
6,Lys2_2,anc_pop_2,ancestral,0.016187616
6,Lys2_3,anc_pop_2,ancestral,0.015314892
6,Lys2_4,anc_pop_2,ancestral,0.015491943
6,Lys2_5,anc_pop_2,ancestral,0.019941266
6,Lys2_6,anc_pop_2,ancestral,0.019167426
7,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.006962625
7,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.00531919
7,Lys2_ev_1_3,ev_pop_1,large_deletion,0.004287372
7,Lys2_ev_1_4,ev_pop_1,large_deletion,0.00449229
7,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.005505257
7,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.006136117
7,Lys2_ev_2_1,ev_pop_2,large_deletion,0.011240288
7,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.009632645
7,Lys2_ev_2_3,ev_pop_2,large_deletion,0.008009467
7,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.011572166
7,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.010907872
7,Lys2_ev_2_6,ev_pop_2,large_deletion,0.008245022
7,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.008691068
7,Lys2_ev_3_2,ev_pop_3,spacer_deletion,0.008526148
7,Lys2_ev_3_3,ev_pop_3,cas_mutation,0.008018319
7,Lys2_ev_3_4,ev_pop_3,spacer_deletion,0.007945827
7,Lys2_ev_3_5,ev_pop_3,large_deletion,0.005105652
7,Lys2_ev_3_6,ev_pop_3,cas_deletion,0.008043581
7,Lys2_1,anc_pop_2,ancestral,0.019221646
7,Lys2_2,anc_pop_2,ancestral,0.020708238
7,Lys2_3,anc_pop_2,ancestral,0.021809182
7,Lys2_4,anc_pop_2,ancestral,0.013954081
7,Lys2_5,anc_pop_2,ancestral,0.025070345
7,Lys2_6,anc_pop_2,ancestral,0.018146552
10,Lys2_ev_1_1,ev_pop_1,spacer_deletion,0.030502124
10,Lys2_ev_1_2,ev_pop_1,spacer_deletion,0.022389813
10,Lys2_ev_1_3,ev_pop_1,large_deletion,0.02012819
10,Lys2_ev_1_4,ev_pop_1,large_deletion,0.01934447
10,Lys2_ev_1_5,ev_pop_1,spacer_mutation,0.022298948
10,Lys2_ev_1_6,ev_pop_1,spacer_mutation,0.022334977
10,Lys2_ev_2_1,ev_pop_2,large_deletion,0.006163643
10,Lys2_ev_2_2,ev_pop_2,cas_mutation,0.005802952
10,Lys2_ev_2_3,ev_pop_2,large_deletion,0.007108164
10,Lys2_ev_2_4,ev_pop_2,spacer_deletion,0.007303508
10,Lys2_ev_2_5,ev_pop_2,spacer_mutation,0.008254107
10,Lys2_ev_2_6,ev_pop_2,large_deletion,0.005051408
10,Lys2_ev_3_1,ev_pop_3,cas_mutation,0.008603006
