"","date","sample_id","spi_min","group","mutation_type"
"60",20211209,"Lys2_ev_2_5",1.43950380336776e-05,"ev_pop_2","spacer_mutation"
"61",20211204,"Lys2_ev_2_6",NA,"ev_pop_2","large_deletion"
"62",20211207,"Lys2_ev_2_6",0.000245323887616196,"ev_pop_2","large_deletion"
"63",20211209,"Lys2_ev_2_6",NA,"ev_pop_2","large_deletion"
"64",20211204,"Lys2_ev_2_6",NA,"ev_pop_2","large_deletion"
"65",20211207,"Lys2_ev_2_6",0.000245323887616196,"ev_pop_2","large_deletion"
"66",20211209,"Lys2_ev_2_6",NA,"ev_pop_2","large_deletion"
"67",20211204,"Lys2_ev_3_1",NA,"ev_pop_3","cas_mutation"
"68",20211209,"Lys2_ev_3_1",-2.81818350236788e-05,"ev_pop_3","cas_mutation"
"69",20211216,"Lys2_ev_3_1",1.9058219368531e-14,"ev_pop_3","cas_mutation"
"70",20211204,"Lys2_ev_3_1",NA,"ev_pop_3","cas_mutation"
"71",20211209,"Lys2_ev_3_1",-2.81818350236788e-05,"ev_pop_3","cas_mutation"
"72",20211216,"Lys2_ev_3_1",1.9058219368531e-14,"ev_pop_3","cas_mutation"
"73",20211204,"Lys2_ev_3_2",NA,"ev_pop_3","spacer_deletion"
"74",20211209,"Lys2_ev_3_2",NA,"ev_pop_3","spacer_deletion"
"75",20211216,"Lys2_ev_3_2",0.000225049186160312,"ev_pop_3","spacer_deletion"
"76",20211204,"Lys2_ev_3_2",NA,"ev_pop_3","spacer_deletion"
"77",20211209,"Lys2_ev_3_2",NA,"ev_pop_3","spacer_deletion"
"78",20211216,"Lys2_ev_3_2",0.000225049186160312,"ev_pop_3","spacer_deletion"
"79",20211204,"Lys2_ev_3_3",NA,"ev_pop_3","large_deletion"
"80",20211209,"Lys2_ev_3_3",0,"ev_pop_3","large_deletion"
"81",20211216,"Lys2_ev_3_3",0.000310202932275025,"ev_pop_3","large_deletion"
"82",20211204,"Lys2_ev_3_3",NA,"ev_pop_3","large_deletion"
"83",20211209,"Lys2_ev_3_3",0,"ev_pop_3","large_deletion"
"84",20211216,"Lys2_ev_3_3",0.000310202932275025,"ev_pop_3","large_deletion"
"85",20211204,"Lys2_ev_3_4",NA,"ev_pop_3","spacer_deletion"
"86",20211209,"Lys2_ev_3_4",2.2200798094193e-05,"ev_pop_3","spacer_deletion"
"87",20211216,"Lys2_ev_3_4",0.00016422508179266,"ev_pop_3","spacer_deletion"
"88",20211204,"Lys2_ev_3_4",NA,"ev_pop_3","spacer_deletion"
"89",20211209,"Lys2_ev_3_4",2.2200798094193e-05,"ev_pop_3","spacer_deletion"
"90",20211216,"Lys2_ev_3_4",0.00016422508179266,"ev_pop_3","spacer_deletion"
"91",20211204,"Lys2_ev_3_5",8.48496255928745e-05,"ev_pop_3","large_deletion"
"92",20211209,"Lys2_ev_3_5",0.000177403637738985,"ev_pop_3","large_deletion"
"93",20211216,"Lys2_ev_3_5",0.000134826764681629,"ev_pop_3","large_deletion"
"94",20211204,"Lys2_ev_3_5",8.48496255928745e-05,"ev_pop_3","large_deletion"
"95",20211209,"Lys2_ev_3_5",0.000177403637738985,"ev_pop_3","large_deletion"
"96",20211216,"Lys2_ev_3_5",0.000134826764681629,"ev_pop_3","large_deletion"
"97",20211204,"Lys2_ev_3_6",-0.000158649538892292,"ev_pop_3","cas_deletion"
"98",20211209,"Lys2_ev_3_6",0.000115565798298539,"ev_pop_3","cas_deletion"
"99",20211216,"Lys2_ev_3_6",4.13603909700034e-05,"ev_pop_3","cas_deletion"
"100",20211204,"Lys2_ev_3_6",-0.000158649538892292,"ev_pop_3","cas_deletion"
"101",20211209,"Lys2_ev_3_6",0.000115565798298539,"ev_pop_3","cas_deletion"
"102",20211216,"Lys2_ev_3_6",4.13603909700034e-05,"ev_pop_3","cas_deletion"
"103",20211202,"Lys2_1",NA,"anc_pop_2","ancestral"
"104",20211209,"Lys2_1",0.000836331435055215,"anc_pop_2","ancestral"
"105",20211216,"Lys2_1",0.000430837405937535,"anc_pop_2","ancestral"
"106",20211209,"Lys2_1",0.000836331435055215,"anc_pop_2","ancestral"
"107",20211216,"Lys2_1",0.000430837405937535,"anc_pop_2","ancestral"
"108",20211202,"Lys2_2",0.000250392562980167,"anc_pop_2","ancestral"
"109",20211209,"Lys2_2",0.000933852749058017,"anc_pop_2","ancestral"
"110",20211216,"Lys2_2",0.000580870196711077,"anc_pop_2","ancestral"
"111",20211209,"Lys2_2",0.000933852749058017,"anc_pop_2","ancestral"
"112",20211216,"Lys2_2",0.000580870196711077,"anc_pop_2","ancestral"
"113",20211202,"Lys2_3",0.000117593268444127,"anc_pop_2","ancestral"
"114",20211209,"Lys2_3",0.000904251684932426,"anc_pop_2","ancestral"
"115",20211216,"Lys2_3",0.000597089957875784,"anc_pop_2","ancestral"
"116",20211209,"Lys2_3",0.000904251684932426,"anc_pop_2","ancestral"
"117",20211216,"Lys2_3",0.000597089957875784,"anc_pop_2","ancestral"
"118",20211202,"Lys2_4",0.00028485955545517,"anc_pop_2","ancestral"
"119",20211209,"Lys2_4",0.000888031923767719,"anc_pop_2","ancestral"
"120",20211216,"Lys2_4",0.000589993812366224,"anc_pop_2","ancestral"
"121",20211209,"Lys2_4",0.000888031923767719,"anc_pop_2","ancestral"
"122",20211216,"Lys2_4",0.000589993812366224,"anc_pop_2","ancestral"
"123",20211202,"Lys2_5",0.000289928230819141,"anc_pop_2","ancestral"
"124",20211209,"Lys2_5",0.000673120088335349,"anc_pop_2","ancestral"
"125",20211216,"Lys2_5",0.000429823670864741,"anc_pop_2","ancestral"
"126",20211209,"Lys2_5",0.000673120088335349,"anc_pop_2","ancestral"
"127",20211216,"Lys2_5",0.000429823670864741,"anc_pop_2","ancestral"
"128",20211202,"Lys2_6",0.000251406298052962,"anc_pop_2","ancestral"
"129",20211209,"Lys2_6",0.000813015528380948,"anc_pop_2","ancestral"
"130",20211216,"Lys2_6",0.000832276494764038,"anc_pop_2","ancestral"
"131",20211209,"Lys2_6",0.000813015528380948,"anc_pop_2","ancestral"
"132",20211216,"Lys2_6",0.000832276494764038,"anc_pop_2","ancestral"
